tag_sn,species,tl_mm,fishid
T412068,pike,670,24
T412069,pike,650,43
T412073,wels,1100,6
T412074,wels,1350,8
T412075,wels,1350,9
T412076,wels,930,25
T412077,wels,990,20
T412078,wels,1580,12
T412079,wels,1080,5
T412080,pike,715,44
T412081,pike,620,14
T412082,wels,1410,10
T412084,wels,1280,21
T412085,wels,810,19
T412086,pike,810,16
T412087,wels,1190,7
T412088,pike,1110,18
T412089,pike,790,15
T412090,pike,750,46
T412091,pike,930,17
T412092,wels,1150,26
T412093,wels,990,3
T412094,pike,870,1
T412097,pike,730,45
T412100,pike,520,13
T412132,tench,475,185
T412137,tench,470,186
T412141,tench,445,154
T412145,tench,490,195
T412147,tench,495,196
T412149,tench,495,187
T412150,tench,550,79
T412153,tench,485,197
T412154,tench,505,176
T412155,tench,535,188
T412156,tench,440,155
T412158,tench,430,219
T412159,tench,525,189
T412162,tench,495,190
T412163,tench,465,191
T412164,tench,520,192
T412166,tench,480,220
T412208,rudd,370,198
T412210,rudd,400,199
T412211,roach,260,62
T412213,rudd,380,177
T412214,rudd,370,178
T412219,rudd,410,179
T412220,roach,270,201
T412225,rudd,405,202
T412229,rudd,415,205
T412230,rudd,350,206
T412231,roach,280,65
T412233,roach,225,160
T412234,rudd,415,208
T412235,rudd,380,209
T412239,rudd,410,211
T412240,rudd,360,180
T412241,rudd,375,212
T412242,rudd,355,181
T412244,rudd,385,213
T413149,wels,1420,11
T413151,wels,1060,4
T413155,tench,490,193
T413156,tench,490,194
